"Proto","Recv-Q","Send-Q","Local Address","Foreign Address","State","PID/Program name"
"tcp","0","0","0.0.0.0:111","0.0.0.0:*","LISTEN","1106/rpcbind"
"tcp","0","0","0.0.0.0:22","0.0.0.0:*","LISTEN","1320/sshd"
"tcp","0","0","127.0.0.1:631","0.0.0.0:*","LISTEN","1197/cupsd"
"tcp","0","0","127.0.0.1:25","0.0.0.0:*","LISTEN","1410/master"
"tcp","0","0","0.0.0.0:33118","0.0.0.0:*","LISTEN","1124/rpc.statd"
"tcp","0","0","0.0.0.0:5672","0.0.0.0:*","LISTEN","1455/qpidd"
"tcp","0","0","10.222.22.40:46410","10.222.22.169:4505","ESTABLISHED","1532/python"
"tcp","0","0","10.222.22.40:22","10.160.10.5:61881","ESTABLISHED","18910/sshd"
"tcp","0","0",":::34637",":::*","LISTEN","1124/rpc.statd"
"tcp","0","0",":::111",":::*","LISTEN","1106/rpcbind"
"tcp","0","0",":::22",":::*","LISTEN","1320/sshd"
"tcp","0","0","::1:631",":::*","LISTEN","1197/cupsd"
"tcp","0","0","::1:25",":::*","LISTEN","1410/master"
"tcp","0","0",":::5672",":::*","LISTEN","1455/qpidd"
"udp","0","0","0.0.0.0:876","0.0.0.0:*","","1124/rpc.statd"
"udp","0","0","0.0.0.0:111","0.0.0.0:*","","1106/rpcbind"
"udp","0","0","0.0.0.0:631","0.0.0.0:*","","1197/cupsd"
"udp","0","0","0.0.0.0:857","0.0.0.0:*","","1106/rpcbind"
"udp","0","0","0.0.0.0:49511","0.0.0.0:*","","1124/rpc.statd"
"udp","0","0",":::111",":::*","","1106/rpcbind"
"udp","0","0",":::48687",":::*","","1124/rpc.statd"
"udp","0","0",":::857",":::*","","1106/rpcbind"
